File#,Incident_Date,UCR,Inc_Address
15-001105,1/16/2015 3:50,"BURGLARY, RESID. FORCIBLE ENT, DAY",148 BERGEN AVE
15-001104,1/16/2015 4:00,SIMPLE ASSAULT,186 South ST Apt 8
15-010422,1/16/2015 9:00,LARCENY OVER 200 FROM AUTOS,STEUBEN ST & WASHINGTON ST
15-001077,1/16/2015 9:30,VANDALISM SCHOOL,1 Harrison Ave 205
15-001078,1/16/2015 9:54,LARCENY OVER 200 OTHER,590 BRAMHALL AVE 2
15-001075,1/16/2015 10:04,VANDALISM M.V.,33 EASTERN PKWY
15-001080,1/16/2015 10:30,LARCENY 50 TO 200 FROM BUILDING,504 WEST SIDE AVE
15-001093,1/16/2015 11:45,SIMPLE ASSAULT,239 BERGEN AVE
15-001083,1/16/2015 12:00,LARCENY 50 TO 200 FROM AUTOS,117 POPLAR ST
15-001088,1/16/2015 12:50,LARCENY 50 TO 200 FROM AUTOS,698 Communipaw Avenue
15-001106,1/16/2015 15:00,VANDALISM M.V.,70 BRIGHT ST
15-001133,1/16/2015 15:00,SIMPLE ASSAULT,407 Arlington Ave
15-001103,1/16/2015 16:00,VANDALISM RESIDENCE,186 SOUTH ST 8
15-001109,1/16/2015 17:48,VANDALISM M.V.,606 GARFIELD AVE
15-001122,1/16/2015 19:08,LARCENY 50 TO 200 FROM BUILDING,115 OCEAN AVE
15-001146,1/17/2015 2:07,SIMPLE ASSAULT,REED ST.
15-001148,1/17/2015 3:21,VANDALISM RESIDENCE,MONMOUTH ST & MONTGOMERY ST
15-001171,1/17/2015 4:00,SIMPLE ASSAULT,200 Seaview Ave.
15-001157,1/17/2015 11:25,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",40 JONES ST 102A
15-001162,1/17/2015 12:30,LARCENY OVER 200 FROM AUTOS,265 BROADWAY
15-001173,1/17/2015 14:00,"BURGLARY, RESID. FORCIBLE ENT, UNKNOWN",218 HOPKINS AVE
15-001170,1/17/2015 14:55,VANDALISM RESIDENCE,77 HUTTON ST
15-001236,1/17/2015 16:00,LARCENY 50 TO 200 BIKES,497 WEST SIDE AVE
15-001181,1/17/2015 16:47,LARCENY OVER 200 FROM BUILDING,455 WASHINGTON BLVD RM511
15-001183,1/17/2015 17:27,"BURGLARY, RESID. FORCIBLE ENT, DAY",205 VIRGINIA AVE
15-001189,1/17/2015 20:24,VANDALISM M.V.,MERCER ST & BERGEN AVE
15-001200,1/18/2015 0:20,VANDALISM RESIDENCE,378 THIRD ST (3RD ST) 4R
15-001205,1/18/2015 0:40,SIMPLE ASSAULT,WEGMAN PKWY & OCEAN AVENUE
15-001206,1/18/2015 1:52,"BURGLARY, NON-RES FORCIBL ENT, UNKNOWN",88 OAKLAND AVE Floor: 1
15-001240,1/18/2015 8:00,LARCENY 50 TO 200 AUTO PARTS AND ACCESSORIES,20 LEWIS AVE
15-001244,1/18/2015 10:00,LARCENY OVER 200 OTHER,235 ARLINGTON AVE Floor: top
15-001297,1/18/2015 11:00,VANDALISM M.V.,383 FULTON AVE
15-001238,1/18/2015 11:23,LARCENY UNDER 50 AUTO PARTS AND ACCESSORIES,599 440 (ST HWY 440)
15-001248,1/18/2015 11:24,VANDALISM M.V.,10 HURON AVE
15-001241,1/18/2015 12:39,LARCENY OVER 200 OTHER,111 STORMS AVE 5-a
15-001249,1/18/2015 14:40,VANDALISM M.V.,10 HURON AVE
15-001258,1/18/2015 18:17,SIMPLE ASSAULT,71 CLAREMONT AVE APT     2
